random_state,baseline_macro_f1,optimized_macro_f1,delta_macro_f1,baseline_acc,optimized_acc,test_rois,train_files,test_files,fixed_by_optimized,regressed_by_optimized
158,0.9907738095238096,0.9740566335369909,-0.016717175986818655,0.9932659932659933,0.9764309764309764,297,555,186,1,6
19,0.979120556201623,0.9622503725782414,-0.01687018362338155,0.9831649831649831,0.9730639730639731,297,555,186,1,4
61,0.980740428402766,0.9636920759703466,-0.017048352432419422,0.9829351535836177,0.9692832764505119,293,555,186,0,4
154,0.9765319426336375,0.959177952848839,-0.017353989784798518,0.9794520547945206,0.9657534246575342,292,555,186,0,4
96,0.9810210639084689,0.9634551041112536,-0.017565959797215314,0.9838187702265372,0.970873786407767,309,555,186,1,5
90,0.9765477044392407,0.9578916072035338,-0.018656097235706826,0.9831649831649831,0.9696969696969697,297,555,186,0,4
181,0.9914575824525249,0.9727950674229117,-0.018662515029613247,0.9935691318327974,0.9807073954983923,311,555,186,0,4
77,0.9812113065242015,0.9604641240732004,-0.020747182451001156,0.9868421052631579,0.9703947368421053,304,555,186,0,5
48,0.9903981677237491,0.9679386714596845,-0.022459496264064627,0.9934426229508196,0.9737704918032787,305,555,186,0,6
6,0.9823204678984745,0.9577747316886036,-0.024545736209870883,0.9867549668874173,0.9701986754966887,302,555,186,0,5
183,0.9815963671363792,0.9501209231619678,-0.03147544397441138,0.986013986013986,0.965034965034965,286,555,186,0,6
