image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1,seconds
32x32,9,16x16,2x2,gray_clahe_blur,36,0.9379084967320261,0.9360654179952277,0.9194068343004513,0.9267132743138671,0.3774683475494385
32x32,12,4x4,1x1,gray,768,0.9869281045751634,0.9846511015865855,0.9734848484848485,0.9788265578318396,9.496613025665283
32x32,12,4x4,1x1,gray_clahe,768,0.9607843137254902,0.9464285714285714,0.937862669245648,0.9414549627680253,10.032991170883179
32x32,12,4x4,1x1,gray_clahe_blur,768,0.9673202614379085,0.9483075692963753,0.9472114764667956,0.9476779822537456,9.342605352401733
32x32,12,4x4,2x2,gray,2352,0.9869281045751634,0.9869791666666666,0.9772727272727273,0.9819838056680162,1.138859510421753
32x32,12,4x4,2x2,gray_clahe,2352,0.9673202614379085,0.9560110050371113,0.9509993552546745,0.9534214840721065,8.936333417892456
32x32,12,4x4,2x2,gray_clahe_blur,2352,0.9673202614379085,0.950791227551791,0.9489845261121858,0.9498712204994405,1.6870818138122559
32x32,12,4x4,3x3,gray,3888,0.9901960784313726,0.9889277389277389,0.9848484848484849,0.9868175251978069,1.3523190021514893
32x32,12,4x4,3x3,gray_clahe,3888,0.9705882352941176,0.9576069479014364,0.9585751128304321,0.9578940141554428,5.120972156524658
32x32,12,4x4,3x3,gray_clahe_blur,3888,0.9673202614379085,0.950791227551791,0.9489845261121858,0.9498712204994405,5.7524330615997314
32x32,12,8x8,1x1,gray,192,0.9705882352941176,0.9625855914918415,0.9585751128304321,0.9605108506516957,0.5900118350982666
32x32,12,8x8,1x1,gray_clahe,192,0.9215686274509803,0.9038488531540513,0.8891038039974211,0.8956292935883552,0.8434219360351562
32x32,12,8x8,1x1,gray_clahe_blur,192,0.9313725490196079,0.9038918900696966,0.9138459058671825,0.9086566972315498,0.9141991138458252
32x32,12,8x8,2x2,gray,432,0.9771241830065359,0.9774305437826768,0.9681656995486783,0.9725521566726003,1.7515044212341309
32x32,12,8x8,2x2,gray_clahe,432,0.9411764705882353,0.9315192743764172,0.9113475177304964,0.9207387412329273,1.7931745052337646
32x32,12,8x8,2x2,gray_clahe_blur,432,0.9705882352941176,0.9670770202020202,0.9509993552546745,0.9585061137692716,1.7126288414001465
32x32,12,8x8,3x3,gray,432,0.9705882352941176,0.9608476320547841,0.9646196002578982,0.962667183562706,1.7708587646484375
32x32,12,8x8,3x3,gray_clahe,432,0.954248366013072,0.9504005764581913,0.9169084461637653,0.9306247361197909,1.502751350402832
32x32,12,8x8,3x3,gray_clahe_blur,432,0.9673202614379085,0.9657619933829612,0.9530141843971631,0.9591257784250703,1.6193406581878662
32x32,12,16x16,1x1,gray,48,0.9444444444444444,0.9509081366218554,0.9211798839458415,0.9324586670898071,0.21417975425720215
32x32,12,16x16,1x1,gray_clahe,48,0.8529411764705882,0.8151245243860257,0.8027079303675048,0.8076629318394024,0.4860203266143799
32x32,12,16x16,1x1,gray_clahe_blur,48,0.8725490196078431,0.8481800313458452,0.8254352030947776,0.8344060109940786,0.4991302490234375
32x32,12,16x16,2x2,gray,48,0.9379084967320261,0.9278602650385069,0.9115892972275951,0.918639943214759,0.17911744117736816
32x32,12,16x16,2x2,gray_clahe,48,0.9150326797385621,0.9057432779146141,0.8835428755641521,0.8936819341053212,0.3665196895599365
32x32,12,16x16,2x2,gray_clahe_blur,48,0.9509803921568627,0.9527992478085762,0.9285138620245004,0.9391059616253749,0.4258251190185547
64x64,6,4x4,1x1,gray,1536,0.9836601307189542,0.9775145067698259,0.9775145067698259,0.9775145067698259,5.118423223495483
64x64,6,4x4,1x1,gray_clahe,1536,0.9771241830065359,0.9661508704061896,0.9661508704061896,0.9661508704061896,5.829819202423096
64x64,6,4x4,1x1,gray_clahe_blur,1536,0.9803921568627451,0.9712948494952702,0.9679239200515797,0.9695407242999629,5.225141525268555
64x64,6,4x4,2x2,gray,5400,0.9836601307189542,0.9775145067698259,0.9775145067698259,0.9775145067698259,4.006755828857422
64x64,6,4x4,2x2,gray_clahe,5400,0.9771241830065359,0.9715931644966656,0.9681656995486783,0.9698109840886996,4.469643831253052
64x64,6,4x4,2x2,gray_clahe_blur,5400,0.9803921568627451,0.9699054466660101,0.9679239200515797,0.9688973597545874,4.3492889404296875
64x64,6,4x4,3x3,gray,10584,0.9934640522875817,0.9906511927788524,0.9906511927788524,0.9906511927788524,4.483645677566528
64x64,6,4x4,3x3,gray_clahe,10584,0.9771241830065359,0.9661508704061896,0.9661508704061896,0.9661508704061896,4.960087776184082
64x64,6,4x4,3x3,gray_clahe_blur,10584,0.9803921568627451,0.9732763761097006,0.9679239200515797,0.9705141640029705,4.880614757537842
64x64,6,8x8,1x1,gray,384,0.9803921568627451,0.983725832990539,0.9641360412637009,0.9728871544142079,2.2622666358947754
64x64,6,8x8,1x1,gray_clahe,384,0.9705882352941176,0.9559047952982035,0.9509993552546745,0.9531179978911296,2.442688465118408
64x64,6,8x8,1x1,gray_clahe_blur,384,0.9738562091503268,0.9616777368758003,0.9565602836879433,0.9590631100348415,2.3461318016052246
64x64,6,8x8,2x2,gray,1176,0.9836601307189542,0.9853094666527502,0.9659090909090909,0.9745916073691725,1.4908666610717773
64x64,6,8x8,2x2,gray_clahe,1176,0.9869281045751634,0.9890408099363324,0.9734848484848485,0.9806955769705954,1.893263816833496
64x64,6,8x8,2x2,gray_clahe_blur,1176,0.9869281045751634,0.9910037878787878,0.9734848484848485,0.9816757803599908,1.8316075801849365
64x64,6,8x8,3x3,gray,1944,0.9869281045751634,0.9827122339235219,0.9734848484848485,0.9778525100294907,1.820924997329712
